기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2014,용인시 수지구,신봉동,11377,34367,16799,17568,34266,16742,17524,101,57,44,3,4027
2014,용인시 수지구,죽전1동,20540,60017,29332,30685,59361,29080,30281,656,252,404,2.9,5476
2014,용인시 수지구,죽전2동,7503,19987,9824,10163,19916,9790,10126,71,34,37,2.7,1795
2014,용인시 수지구,동천동,12065,35044,17389,17655,34712,17208,17504,332,181,151,2.9,3190
2014,용인시 수지구,상현1동,15783,47453,23126,24327,47312,23063,24249,141,63,78,3,4583
2014,용인시 수지구,상현2동,10411,32560,15844,16716,32520,15830,16690,40,14,26,3.1,3830
2014,용인시 수지구,성복동,12285,36738,17765,18973,36535,17634,18901,203,131,72,3,5554
2015,용인시 처인구,포곡읍,13039,34907,17886,17021,34087,17393,16694,820,493,327,2.6,3406
2015,용인시 처인구,모현읍,10314,26638,14248,12390,25282,13310,11972,1356,938,418,2.5,3187
2015,용인시 처인구,이동읍,8022,21464,11138,10326,20292,10267,10025,1172,871,301,2.6,2812
2015,용인시 처인구,남사면,3168,7964,4480,3484,7082,3742,3340,882,738,144,2.3,1649
2015,용인시 처인구,원삼면,3430,8279,4407,3872,7748,4011,3737,531,396,135,2.3,1766
2015,용인시 처인구,백암면,4121,9739,5253,4486,9156,4787,4369,583,466,117,2.3,2134
2015,용인시 처인구,양지면,7205,17800,9422,8378,17218,8994,8224,582,428,154,2.4,2171
2015,용인시 처인구,중앙동,9898,25352,12843,12509,23815,12037,11778,1537,806,731,2.4,2550
2015,용인시 처인구,역삼동,11172,29583,14913,14670,29090,14665,14425,493,248,245,2.6,2463
2015,용인시 처인구,유림동,11697,33444,16983,16461,32988,16726,16262,456,257,199,2.8,2823
2015,용인시 처인구,동부동,5839,15205,7702,7503,14589,7401,7188,616,301,315,2.5,1612
2015,용인시 기흥구,신갈동,13687,37556,18699,18857,36528,18157,18371,1028,542,486,2.7,3834
2015,용인시 기흥구,영덕동,15607,44664,22181,22483,44328,22021,22307,336,160,176,2.9,3289
2015,용인시 기흥구,구갈동,11574,28143,14151,13992,27359,13753,13606,784,398,386,2.4,2305
2015,용인시 기흥구,상갈동,17200,47076,23713,23363,46464,23382,23082,612,331,281,2.7,5021
2015,용인시 기흥구,기흥동,8564,22902,11409,11493,22641,11253,11388,261,156,105,2.7,2421
2015,용인시 기흥구,서농동,8333,20774,10509,10265,19951,10113,9838,823,396,427,2.3,1088
2015,용인시 기흥구,구성동,14422,41276,20086,21190,41102,20015,21087,174,71,103,2.9,5228
2015,용인시 기흥구,마북동,11176,31823,15591,16232,31677,15529,16148,146,62,84,2.8,4608
2015,용인시 기흥구,동백동,25383,78607,38580,40027,78254,38428,39826,353,152,201,3.1,5620
2015,용인시 기흥구,상하동,8555,24975,12224,12751,24758,12100,12658,217,124,93,2.9,2477
2015,용인시 기흥구,보정동,12811,36375,17819,18556,36100,17656,18444,275,163,112,2.8,4726
2015,용인시 수지구,풍덕천1동,14271,37724,18768,18956,37107,18465,18642,617,303,314,2.6,3594
2015,용인시 수지구,풍덕천2동,13661,40235,19768,20467,40020,19673,20347,215,95,120,2.9,3342
2015,용인시 수지구,신봉동,11995,36194,17652,18542,36119,17607,18512,75,45,30,3,4323
2015,용인시 수지구,죽전1동,20280,60134,29335,30799,59221,28965,30256,913,370,543,2.9,5711
2015,용인시 수지구,죽전2동,7460,19792,9718,10074,19712,9682,10030,80,36,44,2.7,1859
2015,용인시 수지구,동천동,12189,35228,17404,17824,34889,17236,17653,339,168,171,2.9,3317
2015,용인시 수지구,상현1동,15960,47724,23242,24482,47588,23188,24400,136,54,82,3,4818
2015,용인시 수지구,상현2동,10469,32632,15859,16773,32586,15840,16746,46,19,27,3.1,4034
2015,용인시 수지구,성복동,12765,38187,18455,19732,37995,18331,19664,192,124,68,3,5930
2016,용인시 처인구,포곡읍,14007,35736,18309,17427,34937,17823,17114,799,486,313,2.5,3602
2016,용인시 처인구,모현읍,10815,27635,14772,12863,26228,13805,12423,1407,967,440,2.4,3360
2016,용인시 처인구,이동읍,8488,22557,11728,10829,21356,10838,10518,1201,890,311,2.5,2991
2016,용인시 처인구,남사면,3200,7946,4486,3460,7052,3722,3330,894,764,130,2.2,1666
2016,용인시 처인구,원삼면,3534,8403,4475,3928,7847,4070,3777,556,405,151,2.2,1842
2016,용인시 처인구,백암면,4177,9628,5176,4452,9054,4721,4333,574,455,119,2.2,2125
2016,용인시 처인구,양지면,7577,18547,9908,8639,17965,9485,8480,582,423,159,2.4,2303
2016,용인시 처인구,중앙동,10544,26176,13251,12925,24599,12407,12192,1577,844,733,2.3,2700
2016,용인시 처인구,역삼동,11603,30307,15235,15072,29798,14982,14816,509,253,256,2.6,2615
2016,용인시 처인구,유림동,11713,33512,16958,16554,33055,16717,16338,457,241,216,2.8,2906
2016,용인시 처인구,동부동,5792,14849,7585,7264,14239,7271,6968,610,314,296,2.5,1709
